"[Repository]","[Page]","[Object]","[Name]","[Type]","[Identifier Type]","[Identifier Value]","[Locators]","[Properties]"
"","Business","InsuranceHistory","InsuranceHistory","Radio","Xpath","//label[contains(text(),'No, not required')]//preceding-sibling::span","{""xpath"":""//label[contains(text(),'No, not required')]//preceding-sibling::span""}","{}"
"","Business","NamedAdditionalInsureds","NamedAdditionalInsureds","Text Box","Xpath","//input[@fieldref='MoreBusinessInput.AdditionalInsuredCount']","{""xpath"":""//input[@fieldref='MoreBusinessInput.AdditionalInsuredCount']""}","{}"
"","Business","NamedWaiverOfSubrogationholders","NamedWaiverOfSubrogationholders","Text Box","Xpath","//input[@fieldref='MoreBusinessInput.WaiverOfSubrogationCount']","{""xpath"":""//input[@fieldref='MoreBusinessInput.WaiverOfSubrogationCount']""}","{}"
"","Business","NoSnapshotProview","NoSnapshotProview","Radio","Xpath","//h2[text()='Snapshot ProView: Safety Means Savings']//following-sibling::div//label[text()='No']//preceding-sibling::span","{""xpath"":""//h2[text()='Snapshot ProView: Safety Means Savings']//following-sibling::div//label[text()='No']//preceding-sibling::span""}","{}"
"","Business","OtherBusinessInsurance","OtherBusinessInsurance","Radio","Xpath","//label[contains(text(),'None')]//preceding-sibling::span","{""xpath"":""//label[contains(text(),'None')]//preceding-sibling::span""}","{}"
"","Business","Save&Continue","Save&Continue","Button","Xpath","//span[@fieldref='Save & Continue']","{""xpath"":""//span[@fieldref='Save & Continue']""}","{}"
"","Business","TestDemo","TestDemo","Web Element","Xpath","sdfdsfsd","{""xpath"":""sdfdsfsd""}","{}"
"","Business","Testing12345","Testing12345","Web Element","Xpath","ffdgdfgss","{""xpath"":""ffdgdfgss""}","{}"
"","Business","Version11","Version11","Web Element","Xpath","fsdfsd","{""xpath"":""fsdfsd""}","{}"
"","Commercial_Auto","Address","Address","Text Box","Xpath","//input[@fieldref='BusinessOwnerHomeAddressInput.Address']","{""xpath"":""//input[@fieldref='BusinessOwnerHomeAddressInput.Address']""}","{}"
"","Commercial_Auto","Business Radio button","Business Radio button","Radio","Xpath","//label[contains(text(),'Individual / Sole Proprietor')]//preceding-sibling::span","{""xpath"":""//label[contains(text(),'Individual / Sole Proprietor')]//preceding-sibling::span""}","{}"
